20	0	10	2.000	
20	1	11	3.742	
25	0	10	3.317	
25	1	11	3.606	
30	0	10	2.236	
30	1	11	4.000	
35	0	10	5.099	
35	1	11	4.359	
40	0	10	5.385	
40	1	11	4.123	
45	0	10	4.472	
45	1	11	5.196	
50	0	10	3.162	
50	1	11	5.196	
55	0	10	4.243	
55	1	11	4.243	
60	0	10	2.449	
60	1	11	3.162	
65	0	10	3.317	
65	1	11	4.583	
70	0	10	3.606	
70	1	11	4.243	
75	0	10	3.000	
75	1	11	5.385	
80	0	10	2.828	
80	1	11	2.236	
85	0	10	4.690	
85	1	11	4.583	
90	0	10	2.236	
90	1	11	1.732	
95	0	10	5.831	
95	1	11	5.916	
100	0	10	4.123	
100	1	11	4.123	
105	0	10	4.123	
105	1	11	5.196	
110	0	10	3.317	
110	1	11	4.359	
115	0	10	3.742	
115	1	11	2.449	
120	0	10	3.606	
120	1	11	3.000	
125	0	10	3.742	
125	1	11	4.583	
130	0	10	6.481	
130	1	11	6.000	
135	0	10	4.359	
135	1	11	4.583	
140	0	10	2.449	
140	1	11	2.236	
145	0	10	2.449	
145	1	11	3.000	
150	0	10	5.745	
150	1	11	5.477	
155	0	10	3.742	
155	1	11	3.742	
160	0	10	6.403	
160	1	11	6.708	
165	0	10	4.243	
165	1	11	5.099	
170	0	10	4.472	
170	1	11	2.828	
175	0	10	4.243	
175	1	11	3.606	
180	0	10	3.606	
180	1	11	4.123	
185	0	10	6.403	
185	1	11	6.083	
190	0	10	10.247	
190	1	11	10.677	
195	0	10	2.236	
195	1	11	3.000	
200	0	10	4.000	
200	1	11	2.236	
205	0	10	4.359	
205	1	11	5.099	
210	0	10	2.000	
210	1	11	2.000	
215	0	10	2.449	
215	1	11	2.449	
220	0	10	2.236	
220	1	11	3.742	
225	0	10	5.000	
225	1	11	5.196	
230	0	10	5.657	
230	1	11	3.000	
235	0	10	5.745	
235	1	11	4.243	
240	0	10	3.464	
240	1	11	2.828	
245	0	10	6.708	
245	1	11	6.708	
250	0	10	4.123	
250	1	11	4.899	
255	0	10	7.550	
255	1	11	6.325	
260	0	10	4.472	
260	1	11	6.164	
265	0	10	1.414	
265	1	11	2.449	
270	0	10	3.742	
270	1	11	2.449	
275	0	10	4.123	
275	1	11	6.325	
280	0	10	1.414	
280	1	11	1.732	
285	0	10	1.414	
285	1	11	1.732	
290	0	10	3.000	
290	1	11	2.828	
295	0	10	3.317	
295	1	11	3.162	
300	0	10	7.810	
300	1	11	7.000	
305	0	10	2.000	
305	1	11	2.236	
310	0	10	6.403	
310	1	11	6.708	
315	0	10	4.472	
315	1	11	4.243	
320	0	10	3.317	
320	1	11	3.742	
325	0	10	4.359	
325	1	11	3.000	
330	0	10	8.062	
330	1	11	7.211	
335	0	10	6.403	
335	1	11	6.083	
340	0	10	4.123	
340	1	11	3.742	
345	0	10	4.899	
345	1	11	4.123	
350	0	10	3.606	
350	1	11	2.236	
355	0	10	4.583	
355	1	11	5.196	
360	0	10	1.732	
360	1	11	3.317	
365	0	10	4.583	
365	1	11	4.359	
370	0	10	4.243	
370	1	11	3.000	
375	0	10	2.000	
375	1	11	2.236	
380	0	10	1.414	
380	1	11	1.732	
385	0	10	6.325	
385	1	11	5.385	
390	0	10	6.782	
390	1	11	5.196	
395	0	10	2.449	
395	1	11	3.317	
400	0	10	2.449	
400	1	11	2.449	
405	0	10	5.099	
405	1	11	7.141	
410	0	10	2.236	
410	1	11	1.000	
415	0	10	3.742	
415	1	11	3.606	
420	0	10	2.449	
420	1	11	3.317	
425	0	10	5.385	
425	1	11	4.690	
430	0	10	4.123	
430	1	11	4.000	
435	0	10	5.000	
435	1	11	6.000	
440	0	10	4.123	
440	1	11	4.359	
445	0	10	5.099	
445	1	11	3.742	
450	0	10	4.583	
450	1	11	4.123	
455	0	10	2.449	
455	1	11	3.317	
460	0	10	4.123	
460	1	11	4.359	
465	0	10	3.317	
465	1	11	2.449	
470	0	10	6.708	
470	1	11	8.307	
475	0	10	5.000	
475	1	11	4.359	
480	0	10	4.123	
480	1	11	4.690	
485	0	10	5.385	
485	1	11	6.164	
490	0	10	4.359	
490	1	11	4.243	
495	0	10	2.236	
495	1	11	3.162	
500	0	10	1.732	
500	1	11	2.236	
505	0	10	5.477	
505	1	11	4.583	
510	0	10	5.099	
510	1	11	5.196	
515	0	10	4.123	
515	1	11	4.583	
520	0	10	5.099	
520	1	11	6.164	
525	0	10	2.236	
525	1	11	3.000	
530	0	10	5.745	
530	1	11	4.000	
535	0	10	5.196	
535	1	11	4.000	
540	0	10	1.414	
540	1	11	1.414	
545	0	10	5.099	
545	1	11	7.141	
550	0	10	3.606	
550	1	11	3.742	
555	0	10	4.472	
555	1	11	6.000	
560	0	10	6.782	
560	1	11	7.000	
565	0	10	5.196	
565	1	11	5.099	
570	0	10	4.123	
570	1	11	3.000	
575	0	10	3.000	
575	1	11	2.828	
580	0	10	4.359	
580	1	11	3.742	
585	0	10	4.583	
585	1	11	4.243	
590	0	10	5.477	
590	1	11	3.742	
595	0	10	5.657	
595	1	11	4.243	
600	0	10	3.000	
600	1	11	3.317	
605	0	10	3.742	
605	1	11	3.742	
610	0	10	4.123	
610	1	11	2.449	
615	0	10	4.123	
615	1	11	5.099	
620	0	10	3.742	
620	1	11	3.464	
625	0	10	5.745	
625	1	11	5.477	
630	0	10	3.000	
630	1	11	1.732	
635	0	10	1.414	
635	1	11	1.414	
640	0	10	4.123	
640	1	11	4.583	
645	0	10	4.359	
645	1	11	6.403	
650	0	10	5.000	
650	1	11	3.606	
655	0	10	5.477	
655	1	11	6.164	
660	0	10	5.385	
660	1	11	5.099	
665	0	10	4.123	
665	1	11	5.099	
670	0	10	5.099	
670	1	11	5.745	
675	0	10	7.280	
675	1	11	5.831	
680	0	10	5.385	
680	1	11	5.385	
685	0	10	4.123	
685	1	11	3.317	
690	0	10	5.099	
690	1	11	5.745	
695	0	10	4.243	
695	1	11	4.000	
700	0	10	4.583	
700	1	11	3.742	
705	0	10	5.385	
705	1	11	3.742	
710	0	10	4.123	
710	1	11	5.196	
715	0	10	3.162	
715	1	11	2.449	
720	0	10	1.732	
720	1	11	4.123	
725	0	10	3.000	
725	1	11	3.162	
730	0	10	5.745	
730	1	11	5.099	
735	0	10	4.472	
735	1	11	3.742	
740	0	10	2.236	
740	1	11	1.000	
745	0	10	5.916	
